DL_0;DL_1;DL_2;DL_3;DL_4;DL_5;DL_6;DL_7;DL_8;DL_9;DL_10;DL_11;DL_12;DL_13;DL_14;DL_15;DL_16;DL_17;DL_18;DL_19;DL_20;DL_21;DL_22;DL_23;DL_24;DL_25;DL_26;DL_27;DL_28;DL_29;DL_30;DL_31;DL_32;DL_33;DL_34;DL_35;DL_36;DL_37;DL_38;DL_39;DL_40;DL_41;DL_42;DL_43;DL_44;DL_45;DL_46;DL_47;DL_48;DL_49;DL_50;DL_51;DL_52;DL_53;DL_54;DL_55;DL_56;DL_57;DL_58;DL_59;DL_60;DL_61;DL_62;DL_63;DL_64;DL_65;DL_66;DL_67;DL_68;DL_69;DL_70;DL_71;DL_72;DL_73;DL_74;DL_75;DL_76;DL_77;DL_78;DL_79;DL_80;DL_81;DL_82;DL_83;DL_84;DL_85;DL_86;DL_87;DL_88;DL_89;DL_90;DL_91;DL_92;DL_93;DL_94;DL_95;DL_96;DL_97;DL_98;DL_99
0,0;0,5622278;0,0;0,0;0,8107911;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,24168883;0,0;0,0;0,0;0,29166055;0,0;0,0;0,5537903;0,0;0,0;0,0;0,0;0,0;0,0;0,7430323;0,0;0,0;0,20449778;0,05822126;0,3479034;0,6329805;0,57507384;0,068764925;0,0;0,0;0,26047906;0,0;0,0;0,0;0,0;0,0;0,0;0,29684746;0,0063013807;0,0;0,86703426;0,0;0,5393176;0,0;0,0;0,0;0,0;0,0;0,1887223;0,0;0,0;0,32481867;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,2379123;0,0;0,0;0,0;0,0;0,10708896;0,0;0,0;0,43380177;0,0;0,39375278;0,4534003;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6283128;0,31581184;0,5134195;0,12614891;0,3573597;0,0;0,0;0,693102;0,23636715;0,0;0,0;0,4910352
0,1695315;0,9722801;0,69873834;0,0;0,0;0,0;0,0;0,7632459;0,0;0,0;0,30552658;0,0;0,0;0,73846793;0,51122063;0,0;0,018782644;0,0;0,9440672;0,0;0,0;0,0;0,0;0,3428807;0,18278575;0,0;0,0;0,3344921;0,0;0,0;0,5435706;0,046687476;0,45336732;0,0;0,0;0,3552521;0,0;0,0;0,78797835;0,0;0,0;0,0;0,35779747;0,7179466;0,0;0,0;0,09601173;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,1283519;0,30154657;0,06340829;0,7520319;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2622487;0,14009713;0,0;0,0;0,0;0,0;0,2090143;0,65782183;0,8334962;0,0;1,0112981;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,58138764;0,19162112;0,4939589;0,0;1,3171692;0,0;0,0;1,4533151;0,0;0,0;0,0;0,0
0,19559596;1,3501658;0,817219;0,0;0,0;0,0;0,0;0,6039943;0,18984188;0,0;0,46103483;0,0;0,0;0,71277785;0,72526103;0,27351665;0,5045995;0,0;0,8399105;0,0;0,0;0,0;0,0;0,7876455;0,66860485;0,0;0,0;0,49604586;0,0;0,0;0,65642756;0,28025863;0,528961;0,0;0,0;0,36010647;0,0;0,0;0,9492441;0,0;0,0;0,0;0,6657288;0,4454346;0,0;0,27278087;0,5966479;0,24413887;0,0;0,0;0,0;0,0;0,0;0,09356433;0,0;0,33462578;1,5738254;0,6274639;0,27056223;0,5947468;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,33331734;0,09953317;0,0;0,0;0,111131705;0,51143414;1,0561398;0,77821684;0,0;0,7970085;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,63514596;0,62370056;0,6899545;0,0;1,2899826;0,0;0,0;0,84585583;0,0;0,0;0,0;0,0
0,24424934;1,2005837;0,88642883;0,0;0,0;0,0;0,0;0,86535865;0,0;0,0;0,6013407;0,0;0,0;0,84964776;0,71123093;0,21732652;0,3256002;0,0;0,9043176;0,0;0,0;0,0;0,0;0,73346573;0,4851474;0,0;0,0;0,45768997;0,0;0,0;0,69774234;0,33974445;0,41433007;0,0;0,0;0,48790216;0,0;0,0;1,0419813;0,0;0,0;0,0;0,5883885;0,6997321;0,0;0,0;0,6335833;0,0;0,0;0,0;0,0;0,0;0,0;0,00629526;0,0;0,08318328;1,4210865;0,7212072;0,16966164;0,78184867;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,40988845;0,0;0,0;0,0;0,0;0,37164128;1,1267811;0,972691;0,0;0,92989427;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6015278;0,42993018;0,6069404;0,0;1,2526753;0,0;0,0;1,3173016;0,0;0,0;0,0;0,0
0,264352;1,2013669;0,8908016;0,0;0,0;0,0;0,0;0,8986257;0,0;0,0;0,5778508;0,0;0,0;0,8811035;0,70992875;0,18906248;0,27253324;0,0;0,8873448;0,0;0,0;0,0;0,0;0,70641667;0,45243934;0,0;0,0;0,46554494;0,0;0,0;0,7163935;0,34718508;0,41397583;0,0;0,0;0,5341476;0,0;0,0;1,065184;0,0;0,0;0,0;0,5599663;0,7502276;0,0;0,0;0,61151683;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,029302828;1,3914294;0,69918793;0,16556811;0,8112639;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,41022342;0,0;0,0;0,0;0,0;0,32329178;1,1092334;0,9997301;0,0;0,98625416;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6223995;0,4123105;0,6133044;0,0;1,2550354;0,0;0,0;1,3878902;0,0;0,0;0,0;0,0
0,26798427;1,223685;0,9255165;0,0;0,0;0,0;0,0;0,87666756;0,0;0,0;0,6980222;0,0;0,0;0,8639777;0,7405749;0,22314478;0,35826492;0,0;0,994727;0,0;0,0;0,0;0,0;0,7832044;0,53150934;0,0;0,0;0,4049533;0,0;0,0;0,70706064;0,32959908;0,36676025;0,0;0,0;0,47833145;0,0;0,0;1,0279511;0,0;0,0;0,0;0,5949357;0,6869565;0,0;0,0;0,72193563;0,0704175;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,14064036;1,4889518;0,7841199;0,15328282;0,7496676;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,46824065;0,0;0,0;0,0;0,0;0,41400072;1,1501347;0,9087422;0,0;0,8921672;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5514928;0,39322633;0,6028222;0,0;1,2689826;0,0;0,0;1,3624318;0,0;0,0;0,0;0,0
0,20663323;1,1756915;0,81030166;0,0;0,0;0,0;0,0;0,77790684;0,0;0,0;0,49759796;0,0;0,0;0,77125645;0,6686632;0,2247591;0,34452236;0,0;0,8082388;0,0;0,0;0,0;0,0;0,6851945;0,47303343;0,0;0,0;0,4821535;0,0;0,0;0,64264363;0,3146885;0,46753317;0,0;0,0;0,44339737;0,0;0,0;1,0025351;0,0;0,0;0,0;0,60314745;0,5958017;0,0;0,054405063;0,53217083;0,0;0,0;0,0;0,0;0,0;0,0;0,04973286;0,0;0,1020989;1,3568147;0,6266675;0,21756607;0,7518079;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,044010706;0,35373664;0,0;0,0;0,0;0,044885255;0,3542783;1,0833167;0,9570838;0,0;0,8936033;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6446131;0,49409574;0,63402945;0,0;1,2311428;0,0;0,0;1,1578597;0,0;0,0;0,0;0,0
0,2896427;1,2107581;0,94579303;0,0;0,0;0,0;0,0;0,95914036;0,0;0,0;0,64357984;0,0;0,0;0,9267591;0,74014795;0,19472831;0,2565357;0,0;0,95076066;0,0;0,0;0,0;0,0;0,7452454;0,4658195;0,0;0,0;0,45159256;0,0;0,0;0,7559495;0,3569212;0,38276494;0,0;0,0;0,5644799;0,0;0,0;1,0883564;0,0;0,0;0,0;0,561518;0,819152;0,0;0,0;0,6798464;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,017242499;1,438659;0,7709896;0,13875109;0,84809184;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,45416605;0,0;0,0;0,0;0,0;0,33827552;1,1482944;1,0179327;0,0;1,0139445;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5970533;0,3781464;0,5941413;0,0;1,2758403;0,0;0,0;1,5083842;0,0;0,0;0,0;0,0
0,015189605;0,91177785;0,43894848;0,0;0,0;0,0;0,0;0,5126881;0,0;0,0;0,0;0,0;0,0;0,5528996;0,36128542;0,0;0,0;0,0;0,7511701;0,0;0,0;0,0;0,0;0,07663504;0,1708066;0,0;0,0;0,5573328;0,0;0,0;0,50811386;0,0;0,49801478;0,0;0,0;0,067949;0,0;0,0;0,75478804;0,0;0,0;0,0;0,21533027;0,4777575;0,0;0,0;0,0;0,0;0,14900903;0,0;0,13529322;0,0;0,0;0,0;0,0;0,0;1,0944082;0,041668493;0,14990816;0,6758168;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7956331;0,0;0,0;0,0;0,0;0,005441213;0,049282968;0,33230552;0,7357118;0,0;1,0703901;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6355503;0,13061132;0,4797399;0,0;1,3017058;0,0;0,0;1,2415104;0,0;0,0;0,0;0,0
0,23626736;1,1836865;0,7981223;0,0;0,0;0,0;0,0;0,80486804;0,0;0,0;0,3904486;0,0;0,0;0,8182831;0,6826553;0,14118876;0,31051552;0,0;0,77821296;0,0;0,0;0,0;0,0;0,61182535;0,4556636;0,0;0,0;0,5780498;0,0;0,0;0,6450362;0,3149843;0,54145503;0,0;0,0;0,4717359;0,0;0,0;1,0586501;0,0;0,0;0,0;0,5675855;0,636186;0,0;0,0;0,40393162;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0029141312;1,3760871;0,51807076;0,27192253;0,7884113;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,20048799;0,3048664;0,0;0,0;0,0;0,09868347;0,281522;1,0470716;1,059267;0,0;1,0299517;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,74748135;0,47220927;0,6381718;0,0;1,2605146;0,0;0,0;1,2033935;0,0;0,0;0,0;0,0
